0,4.460000013750687E-7
10,4.200000148557592E-6
20,1.951000058397767E-6
30,2.283999947394477E-6
40,2.322999989701202E-6
50,3.082999910475337E-6
60,4.039000032207696E-6
70,2.0259999473637436E-6
80,1.842999949985824E-6
90,3.2499999633728294E-6
0,1.9300000531075057E-7
100,2.2990000161371427E-6
200,4.905999958282337E-6
300,6.911000127729494E-6
400,8.781999895290937E-6
500,1.0851000297407154E-5
600,1.3302999832376372E-5
700,1.5360999896074645E-5
800,1.7706999642541632E-5
900,2.1406000087154098E-5
0,1.4699999439926614E-7
1000,2.199200025643222E-5
2000,5.162399975233711E-5
3000,7.854399882489815E-5
4000,1.039729977492243E-4
5000,1.3770400255452842E-4
6000,1.7640799342188984E-4
7000,2.106769970851019E-4
8000,2.3273499391507357E-4
9000,2.6005200925283134E-4
0,1.439999977037587E-7
10000,2.9039999935775995E-4
20000,6.24935026280582E-4
30000,0.0010158568620681763
40000,0.0013695423258468509
50000,0.0017300201579928398
60000,0.002073233015835285
70000,0.002399957738816738
80000,0.0028080162592232227
90000,0.0032319563906639814
